Código da Receita;Débito Apurado;Descrição;Período Apuração Débito;Salário Familia;Retenção Lei 9711/98;Saldo a Pagar;Período de Apuração do Arquivo;Número do Recibo;Data/Hora da Transmissão ;Arquivo
1082-01;7.359,65;CP SEGURADOS - EMPREGADOS/AVULSO;;392,51;;6.967,14;="04/2019";="40000000305354";="06/05/2019 17:21:02";=hiperlink("../f.pdf")
1170-01;2.115,63;CP TERCEIROS - SALÁRIO EDUCAÇÃO;;;;2.115,63;="04/2019";="40000000305354";="06/05/2019 17:21:02";=hiperlink("../f.pdf")
1191-01;846,25;CP TERCEIROS - SENAC;;;;846,25;="04/2019";="40000000305354";="06/05/2019 17:21:02";=hiperlink("../f.pdf")
1196-01;1.269,38;CP TERCEIROS - SESC;;;;1.269,38;="04/2019";="40000000305354";="06/05/2019 17:21:02";=hiperlink("../f.pdf")
1176-01;169,25;CP TERCEIROS - INCRA;;;;169,25;="04/2019";="40000000305354";="06/05/2019 17:21:02";=hiperlink("../f.pdf")
1200-01;507,75;CP TERCEIROS - SEBRAE;;;;507,75;="04/2019";="40000000305354";="06/05/2019 17:21:02";=hiperlink("../f.pdf")
1646-01;1.269,38;CP PATRONAL - GILRAT AJUSTADO;;;;1.269,38;="04/2019";="40000000305354";="06/05/2019 17:21:02";=hiperlink("../f.pdf")
1138-01;16.925,07;CP PATRONAL - EMPREGADOS/AVULSOS;;;;16.925,07;="04/2019";="40000000305354";="06/05/2019 17:21:02";=hiperlink("../f.pdf")
1138-04;1.865,50;CP PATRONAL - CONTRIBUINTES INDIVIDUAIS;;;;1.865,50;="04/2019";="40000000305354";="06/05/2019 17:21:02";=hiperlink("../f.pdf")
1099-01;1.026,02;CP SEGURADOS - CONTRIBUINTES INDIVIDUAIS - 11%;;;;1.026,02;="04/2019";="40000000305354";="06/05/2019 17:21:02";=hiperlink("../f.pdf")
1082-01;2.239,43;CP SEGURADOS - EMPREGADOS/AVULSO;;20,51;2.218,92;0,00;="10/2021";="50000052297594";="23/05/2022 15:21:21";=hiperlink("../f2.pdf")
1099-01;121,00;CP SEGURADOS - CONTRIBUINTES INDIVIDUAIS - 11%;;;121,00;0,00;="10/2021";="50000052297594";="23/05/2022 15:21:21";=hiperlink("../f2.pdf")
1138-01;5.690,39;CP PATRONAL - EMPREGADOS/AVULSOS;;;5.690,39;0,00;="10/2021";="50000052297594";="23/05/2022 15:21:21";=hiperlink("../f2.pdf")
1138-04;220,00;CP PATRONAL - CONTRIBUINTES INDIVIDUAIS;;;220,00;0,00;="10/2021";="50000052297594";="23/05/2022 15:21:21";=hiperlink("../f2.pdf")
1646-01;1.569,60;CP PATRONAL - GILRAT AJUSTADO;;;1.569,60;0,00;="10/2021";="50000052297594";="23/05/2022 15:21:21";=hiperlink("../f2.pdf")
